PT,EN
que,what
não,no
de,of
um,one
para,to
eu,I
se,if
me,me
uma,one
está,this
com,with
do,of
por,put
te,you
os,you
bem,good
em,in
ele,he
isso,that
mas,but
da,from the
como,as
no,node
sim,Yes
as,to the
mais,more
na,in
meu,my
você,you
aqui,here
muito,very
foi,he was
estou,I am
vamos,let's go
ela,she
fazer,to do
vai,go
isto,this
já,already
tem,he has
só,only
minha,my
nos,us
ser,to be
tudo,all
ao,to the
tenho,I have
vou,I go
sei,I know
agora,now
há,there is
lá,there
tu,you
quando,when
porque,why
estás,these
quem,who
onde,where
nada,nothing
ter,to have
então,then
dizer,to say
lhe,him
seu,your
era,was
sou,am
ou,or
coisa,thing
quero,I want
são,they are
sua,your
pode,he can
nós,us
mesmo,same
ver,see
disse,he said
eles,they
bom,good
estava,he was
esta,this
todos,all
mim,me
posso,can I
dos,of the
lo,it
estão,they are
temos,we have
nunca,never
este,this
casa,home
até,until
assim,like this
acho,I think
quer,he wants
tens,you have
tempo,time
ir,go
falar,to speak
quê,what
ainda,yet
tua,your
teu,your
favor,please
pai,father
também,also
obrigado,thanks
vez,time
deus,God
certo,right
tão,so
sobre,on
melhor,better
noite,night
és,you are
dia,day
estamos,we are
talvez,perhaps
nem,nor
depois,after
sempre,always
sabe,he knows
mãe,mother
vida,life
sem,without
alguém,somebody
olá,hello
anos,years
sabes,you know
ti,you
homem,man
dele,from him
alguma,some
das,of
algo,something
parece,it seems
sr,sir
tinha,he had
senhor,sir
boa,good
vais,you go
coisas,things
estar,be
faz,he does
queres,do you want
vocês,you
dois,two
ficar,to stay
pelo,for the
preciso,necessary
aí,there
diz,it says
claro,Of course
pessoas,people
essa,that
verdade,true
dar,give
esse,that
antes,before
ninguém,nobody
tipo,type
la,there
vão,they go
trabalho,work
oh,oh
grande,big
comigo,with me
outra,other
apenas,just
espera,wait
saber,to know
vá,go
podes,you can
pouco,little
dinheiro,money
qual,which
qualquer,any
pois,then
podemos,we can
fora,outside
pela,for the
merda,Shit
deve,he must
daqui,from here
olha,look
cá,here
filho,son
disso,from that
toda,all
hoje,today
mulher,woman
meus,my
todo,all
nome,name
seja,it is
num,in a
desculpa,sorry
outro,other
nosso,our
nossa,our
sair,to go out
queria,I wanted
sério,serious
dá,from the
mundo,world
quanto,as
seus,your
certeza,certainty
mal,bad
dela,her
têm,he has
amigo,friend
volta,back
às,to the
carro,car
três,three
passa,raisin
embora,although
fez,he did
novo,new
aconteceu,it happened
deixa,he leaves
problema,problem
menos,less
vem,he comes
nas,in the
lugar,place
consigo,with you
será,it will be
dentro,within
pensar,think
ok,OK
vezes,times
lado,side
primeiro,first
contigo,with you
numa,in a
todas,all
tentar,to try
vi,saw
aos,to the
parte,part
cara,face
ei,Hey
ali,there
voltar,to go back
algum,some
hora,time
porquê,why
anda,come on
desculpe,sorry
vê,see
ajudar,to help
aquele,that one
obrigada,thanks
querida,dear
sinto,I feel
pensei,I thought
los,them
homens,men
duas,two
dias,days
sabia,you knew
fui,I went
matar,to kill
gente,people
uns,some
gosto,I like
razão,reason
vos,you
atrás,back
deixar,to leave
cabeça,head
podem,they can
amor,love
fica,he is
achas,do you think
somos,we are
pronto,ready
família,family
horas,hours
entre,between
ajuda,help
frente,front
tal,such
polícia,police
ideia,idea
tarde,afternoon
suas,your
porta,door
passar,to spend
tenha,you have
amigos,friends
ouvir,to hear
precisa,it needs
fiz,I did
encontrar,find
deles,from them
ia,ia
nenhum,none
momento,moment
devia,should
acha,he thinks
aquilo,that one
cidade,city
cima,top
minutos,minutes
desde,since
foram,they were
si,yes
pessoa,person
entrar,to enter
pra,for
diga,say
morrer,to die
nova,new
podia,could
seria,he would be
caso,case
chegar,to arrive
outros,others
tanto,both
morto,dead
levar,to take
amanhã,tomorrow
forma,shape
quase,almost
fosse,were
medo,fear
lhes,them
contra,against
irmão,brother
sido,been
minhas,my
aquela,that one
arma,arm
caminho,path
morte,death
sorte,luck
enquanto,while
vir,come
cuidado,Careful
primeira,first
cada,each
deixe,let
semana,week
feliz,happy
trabalhar,to work
precisamos,we need
alguns,some
espero,I hope
maneira,manner
tive,I had
olhos,eyes
faço,I make
ano,year
vejo,I see
rapaz,boy
fala,he speaks
durante,during
acabou,he finished
desta,of this
pessoal,guys
pára,to
quarto,room
estes,these
feito,done
for,for
mãos,hands
sangue,blood
fim,end
acontecer,to happen
dr,dr
ouve,listen
faça,do
estas,these
adeus,goodbye
querem,want
causa,cause
meio,quite
filha,daughter
água,water
juntos,together
lamento,I regret
perto,close
teus,your
jogo,game
cinco,five
umas,some
importante,important
última,last
logo,soon
manhã,morning
chefe,boss
senhora,madam
acredito,I believe
nossos,ours
calma,calm
poder,power
única,unique
querido,dear
ouvi,I heard
deu,it gave
terra,Earth
disto,of this
guerra,war
rápido,fast
algumas,some
realmente,really
poderia,it could
digo,I say
contar,count
amo,I love
mão,hand
nisso,in this
baixo,low
difícil,difficult
começar,to start
viu,it saw
espere,Wait
mesma,same
deste,of this
problemas,problems
capitão,captain
corpo,body
dólares,dollars
importa,matter
número,number
usar,to use
disseste,you said
maior,bigger
segundo,second
significa,means
escola,school
sabem,know
parar,to stop
dormir,sleep
andar,to walk
quatro,four
segurança,security
coração,heart
raio,ray
havia,there was
sai,leaves
teve,he had
buscar,search
presidente,president
nenhuma,none
agente,agent
chega,he arrives
rapazes,boys
pequeno,small
idiota,idiot
fizeste,you did
tirar,to throw
morreu,he died
força,strength
sabemos,we know
ontem,yesterday
prazer,pleasure
procura,search
viver,to live
mau,bad
estado,state
sentir,to feel
meses,months
chama,flame
festa,party
mulheres,women
pedir,ask
conheço,I know
crianças,children
devo,I must
rapariga,girl
perder,lose
sra,Mrs
pergunta,question
marido,husband
eram,they were
fazes,you do
altura,height
porra,fuck
olhe,look
olhar,to look
velho,old
muitas,lots of
mil,thousand
filhos,children
näo,no
trás,behind
fazendo,doing
muitos,many
equipa,team
pais,country
telefone,telephone
acabar,to finish
dê,of
teria,would have
possível,possible
depressa,quickly
elas,they
venha,come
esperar,wait
muita,many
tomar,take
pena,pity
gosta,he likes
armas,weapons
nesta,in this
vivo,alive
vindo,coming
tivesse,had
longe,far away
penso,I think
acordo,agreement
demais,too much
vossa,yours
pensa,think
errado,wrong
conseguir,get
gostaria,I would like
estranho,strange
veio,he came
fácil,easy
sente,feel
essas,these
brincar,to play
licença,license
suficiente,enough
seis,six
mudar,to change
passado,past
estavam,they were
plano,flat
fogo,fire
livro,book
esses,those
irmã,sister
dizem,they say
falta,lack
fazem,do
jantar,to have lunch
rei,king
devias,you should
matou,killed
cama,bed
leva,he takes
nossas,our
foste,you were
sozinho,alone
adoro,I adore
exactamente,exactly
paz,peace
tuas,your
além,in addition
pôr,put
palavra,word
sala,room
consegue,it achieves
pagar,pay
seguir,follow
possa,can
atenção,attention
fique,stay
passou,it happened
comida,food
ar,air
culpa,blame
pelos,by the
ficou,it was left
ligar,to connect
bastante,quite
continua,continue
correr,run
estavas,you were
precisas,accurate
boca,mouth
luz,light
outras,others
único,single
menina,girl
deixou,he left
casamento,marriage
acreditar,to believe
médico,doctor
próprio,own
semanas,weeks
chegou,it arrived
fico,I am
minuto,minute
especial,special
chamar,to call
lembro,I remember
forte,strong
esteja,be
perguntar,to ask
mostrar,show
filme,film
sequer,not even
provavelmente,probably
país,country
cala,shut up
houve,there was
pé,foot
partir,leave
fazê,do
diferente,different
pior,worse
rua,road
deveria,it should
próxima,next
café,coffee
direito,right
existe,exists
boas,good
resto,rest
quiser,he wants
pare,Stop
toma,take
quis,wanted
viste,did you see
lembra,remember
portanto,therefore
continuar,continue
descobrir,discover
conhece,do you know
bebé,baby
sam,sam
sexo,sex
manter,to maintain
visto,visa
las,them
jogar,to play
vim,I came
encontrei,I found
demasiado,too
vosso,your
ai,there
raios,rays
ponto,point
sentido,sense
dez,ten
milhões,million
puta,bitch
sinal,signal
aqueles,those ones
ganhar,to win
haver,be
querer,to want
consegues,can you do it
devem,must
seguro,insurance
criança,child
último,last
sistema,system
gostava,liked
prisão,prison
cão,dog
queremos,we want
linda,beautiful
esposa,wife
local,location
peço,I ask
música,music
acontece,it happens
sítio,place
irá,Iran
trouxe,he brought
esteve,been
pequena,small
conhecer,to know
precisar,to need
salvar,save
oportunidade,opportunity
fazemos,we do
mr,mr
encontro,meeting
capaz,able
comprar,buy
avião,plane
achei,I thought
vês,see
chão,floor
natal,Christmas
jesus,Jesus
mortos,dead
jovem,young
negócio,business
banho,bath
beber,to drink
grandes,big
livre,free
alto,high
situação,situation
miúdo,kid
sob,under
connosco,with us
tratar,treat
nao,no
deves,you must
cedo,early
veja,look
apanhar,to take
entra,enter
futuro,future
próximo,next
entendo,I understand
nave,ship
final,end
vontade,willing
cabelo,hair
certa,right
general,general
perfeito,perfect
dou,I give
lembras,do you remember
respeito,respect
devemos,we must
nisto,in this
lindo,beautiful
bonito,beautiful
guarda,guard
ordem,order
miúda,girl
disseram,they said
preocupes,worries
perguntas,questions
interessa,interest
oi,hey
põe,put
questão,question
mensagem,message
palavras,words
começou,it started
senhores,sirs
falando,talking
gajo,dude
notícias,news
acabei,I finished
estiver,you are
estávamos,we were
louco,crazy
tira,strip
vista,view
campo,field
linha,line
tinhas,you had
mesa,table
finalmente,finally
própria,own
assassino,assassin
droga,drug
fizeram,did
emprego,job
amiga,friend
barco,boat
conversa,conversation
terá,will have
faria,would
simples,simple
missão,mission
viagem,trip
tom,tone
ataque,attack
consegui,I achieved
nessa,in this
gostas,do you like
bonita,beautiful
grupo,group
real,real
completamente,completely
doente,sick
bocado,bit
abrir,open
dessa,of this
ler,to read
tio,uncle
pelas,by
doutor,doctor
lista,list
crime,crime
novamente,again
procurar,to search for
chamada,call
segunda,second
acredita,believe
quiseres,you want
daí,from there
normal,normal
relação,relationship
modo,mode
resposta,response
sol,sun
desse,of that
viva,alive
lutar,to fight
aonde,to where
tipos,types
dizes,you say
saia,skirt
estúpido,stupid
meia,half
assunto,subject
deixem,leave
melhores,best
escritório,desk
serviço,service
facto,fact
dor,pain
casar,to marry
David,David
dito,said
exército,army
fundo,bottom
fugir,to escape
acidente,accident
faças,do
nesse,in that
vale,OK
fixe,cool
george,George
sonho,dream
nele,in it
quantos,how many
escuta,listening
ambos,both
graças,thanks
papá,daddy
preso,arrested
tinham,had
professor,teacher
trazer,to bring
ajudá,help
dei,I gave
pensas,do you think
fiquei,I was left
sete,seven
esperem,wait
roupa,clothing
hotel,hotel
verdadeiro,TRUE
devíamos,we should
fantástico,fantastic
creio,I believe
espaço,space
idade,age
bons,good
tocar,touch
olho,eye
companhia,company
saiu,it went out
conseguiu,it achieved
jeito,way
pensava,thought
escolha,choice
levou,he took
iria,I would go
mente,mind
estivesse,was
caixa,box
ouça,listen
sozinha,alone
tiro,shot
programa,program
esquerda,left
parabéns,congratulations
voz,voice
chave,key
gostar,to like
engraçado,funny
diabo,devil
costas,back
informação,information
olhem,look
pegar,to take
erro,error
falou,he spoke
namorada,girlfriend
fome,hunger
cabo,cable
abre,open
volto,I'll be back
incrível,incredible
banco,bank
fazia,did
estrada,road
após,after
posição,position
excelente,excellent
juro,interest
má,bad
parem,stop
morta,dead
loja,store
coronel,colonel
prometo,I promise
povo,people
presente,gift
tempos,times
fomos,we were
carta,letter
mestre,teacher
proteger,protect
explicar,explain
leve,light
trata,treats
simplesmente,simply
ora,now
the,the
governo,government
mata,kill
cair,to fall
centro,center
prova,proof
senhoras,ladies
chamado,called
céu,sky
mês,month
aposto,I bet
soube,I knew
mamã,mom
norte,north
destino,destination
quente,warm
tradução,translation
feira,fair
conversar,to talk
ordens,orders
lembrar,to remember
almoço,lunch
metade,half
direita,right
mandar,to send
papel,paper
miúdos,kids
liga,league
chamo,I call
pediu,he requested
perdi,I lost
indo,going
ouviste,did you hear
diabos,hell
foda,fuck
advogado,attorney
tornar,become
base,base
conseguimos,we achieved
imediatamente,immediately
lei,law
através,through
interessante,interesting
planeta,planet
bolas,balls
cheio,full
voltou,it returned
esquece,he forgets
saiam,get out
James,James
impossível,impossible
tenente,lieutenant
escrever,to write
funciona,works
bela,lovely
entendido,understood
pés,feet
reunião,meeting
luta,fight
saída,exit
cena,scene
inferno,hell
percebo,I understand
oito,eight
máquina,machine
comandante,commander
câmara,chamber
falei,I spoke
segredo,secret
regras,rules
acerca,about
odeio,I hate
fizemos,we did
bomba,pump
precisam,need
sargento,sergeant
passo,step
trabalha,it works
honra,honor
vidas,lives
digas,say
